Microsatellite,sum,scores
BF-047,0,X X
BF-052,0,X X
BF-143,0,X X
BF-174,0,X X
BF-185,0,X X
BF-190,0,X X
BF-212,0,X X
BF-225,0,X X
BF-230,0,X X
BF-231,0,X X
BF-246,0,X X
BF-247,0,X X
BF-262,0,X X
BF-272,0,X X
BF-275,0,X X
BF-283,0,X X
BF-284,0,X X
BF-285,0,X X
BF-287,0,X X
BF-288,0,X X
BF-293,0,X X
BF-300,0,X X
BF-307,0,X X
BF-311,0,X X
BF-315,0,X X
BF-318,0,X X
BF-322,0,X X
BF-327,0,X X
BF-335,0,X X
BF-342,0,X X
BF-360,0,X X
BF-366,0,X X
BF-372,0,X X
BF-377,0,X X
BF-378,0,X X
BF-381,0,X X
BF-393,0,X X
BF-400,0,X X
BF-405,0,X X
BF-408,0,X X
BF-411,0,X X
BF-433,0,X X
BF-456,0,X X
